Date,Brent,OVX,SaudiArabia,Qatar,Kazakhstan,Bahrain,Colombia,Mexico,Brazil,Turkey,SouthAfrica,Chile,Philippines,Egypt,Indonesia,Poland
2018-01-05,67.62000274658203,22.299999237060547,90.16,99.77,110.14,288.67,96.54999,97.04,144.74,157.63,146.62,47.63,55.98,334.39,81.87,55.64
2018-01-12,69.87000274658203,23.520000457763672,84.75,92.39,104.9,281.66,92.12,97.29,144.51,155.2,139.59,44.39,53.65,298.37,78.66,52.31
2018-01-19,68.61000061035156,21.200000762939453,85.25,94.94,105.4,241.87,91.14,99.99,148.69,167.68,147.15,43.64,56.77,340.12,81.06,50.26
2018-01-26,70.5199966430664,22.290000915527344,85.24,89.69,95.09,244.64,88.17,98.02,141.08,163.09,143.53,42.75,56.36,262.75,79.11,49.55
2018-02-02,68.58000183105469,23.799999237060547,78.35,86.53,93.51,240.78,92.84999,99.01,149.37,165.47,146.65,45.2,58.62,255.53,80.35,49.84
2018-02-09,62.790000915527344,29.850000381469727,84.28,90.42,100.64,247.22,111.76,112.73,175.5,181.76,158.82,55.66,71.15,264.67,95.07,50.3
2018-02-16,64.83999633789062,26.96999931335449,84.29,88.3,98.51,249.77,97.03999,100.97,150.49,162.92,140.96,48.8,64.6,265.81,88.34,50.5
2018-02-23,67.30999755859375,24.3700008392334,82.33,84.6,93.78,249.92,99.98999,102.93,152.63,170.48,143.16,46.82,65.87,258.7,88.36,49.91
2018-03-02,64.37000274658203,26.149999618530277,82.29,83.13,93.44,242.49,105.89,108.33,155.09,173.8,149.11,46.78,66.07,259.58,87.6,49.49
2018-03-09,65.48999786376953,26.229999542236328,80.34,82.6,91.81,240.04,98.51999,103.92,143.43,165.42,137.35,42.82,65.7,258.95,89.21,49.4
2018-03-16,66.20999908447266,24.530000686645508,78.38,81.18,91.64,237.87,95.07999,104.9,145.44,175.41,145.63,44.74,65.62,257.49,90.32,49.61
2018-03-23,70.44999694824219,27.559999465942383,83.34,86.02,93.47,280.4,113.71,117.11,170.85,197.43,161.26,55.66,77.74,254.4,105.84,51.06
2018-03-30,70.2699966430664,25.06999969482422,86.27,88.47,93.64,291.59,106.61,108.56,161.53,191.4,149.12,51.26,75.02,253.99,102.92,50.25
2018-04-06,67.11000061035156,24.989999771118164,88.25,86.62,93.3,288.75,102.44,106.35,165.66,196.67,150.05,48.8,73.56,251.51,101.7,50.22
2018-04-13,72.58000183105469,28.520000457763672,89.71,88.91,92.15,289.32,99.5,103.91,167.88,199.51,152.75,47.32,73.32,254.71,97.8,50.77
2018-04-20,74.05999755859375,28.989999771118164,87.75,87.65,90.35,289.69,102.2,110.27,168.87,193.84,154.22,48.81,72.32,255.04,98.16,50.88
2018-04-27,74.63999938964844,25.59000015258789,88.23,88.04,88.56,291.3,105.63,112.46,167.39,193.48,157.4,49.31,73.79,254.96,105.6,50.76
2018-05-04,74.87000274658203,26.170000076293945,88.23,90.04,91.66,347.02,109.79,115.64,181.22,229.3,170.07,54.22,79.92,268.4,117.53,51.0
2018-05-11,77.12000274658203,25.739999771118164,87.24,89.47,91.98,342.43,107.1,113.69,182.7,234.23,159.63,52.72,80.16,308.68,113.14,52.45
2018-05-18,78.51000213623047,25.229999542236328,91.66,93.76,92.47,352.65,117.14,130.57,202.15,277.39,178.39,57.64,85.78,318.94,124.86,53.07
2018-05-25,76.44000244140625,27.76000022888184,87.25,90.66,91.51,379.13,111.26,120.06,189.83,262.81,165.23,53.7,83.83,270.59,116.81,54.31
2018-06-01,77.58999633789062,28.649999618530277,87.23,92.43,91.48,379.32,123.54,136.67,234.76,279.37,175.54,58.12,87.01,267.37,121.45,64.29
2018-06-08,76.45999908447266,27.59000015258789,89.2,93.95,93.13,411.61,121.32,149.34,247.23,271.31,190.17,57.19,88.73,269.67,127.76,66.63
2018-06-15,73.44000244140625,27.63999938964844,97.05,99.09,93.63,430.13,125.48,143.04,266.84,311.79,204.75,56.2,87.51,341.21,126.56,65.78
2018-06-22,75.55000305175781,25.520000457763672,95.08,98.43,95.75,468.81,122.32,131.81,256.97,289.47,196.08,56.13,91.66,355.27,133.14,67.62
2018-06-29,79.44000244140625,27.18000030517578,92.63,98.2,95.09,395.57,124.03,133.18,267.98,289.96,212.4,61.56,93.14,360.34,137.49,67.58
2018-07-06,77.11000061035156,28.1299991607666,88.21,92.82,92.88,389.69,106.62,113.71,248.09,282.71,202.9,59.61,89.71,364.44,136.02,67.26
2018-07-13,75.33000183105469,27.540000915527344,84.77,86.92,84.21,378.51,108.34,110.29,239.65,318.45,181.96,55.66,79.63,353.45,119.76,66.61
2018-07-20,73.06999969482422,26.01000022888184,88.2,88.11,83.78,363.22,109.83,113.96,222.04,304.02,182.78,56.12,77.9,353.4,117.1,66.45
2018-07-27,74.29000091552734,24.96999931335449,88.2,86.35,83.39,352.25,103.44,110.3,207.5,310.29,180.08,49.42,71.5,352.97,106.6,65.93
2018-08-03,73.20999908447266,25.61000061035156,85.26,84.01,83.46,349.7,103.29,113.73,209.16,330.35,182.03,48.71,75.93,349.55,116.86,65.18
2018-08-10,72.80999755859375,25.450000762939453,84.28,84.02,85.28,352.08,112.12,121.08,235.24,437.18,201.54,52.18,78.38,341.74,118.58,64.61
2018-08-17,71.83000183105469,25.709999084472656,88.19,90.02,86.21,357.39,110.66,117.17,236.57,495.59,219.85,51.36,78.37,343.79,122.0,66.04
2018-08-24,75.81999969482422,23.309999465942383,83.26,83.53,85.44,344.86,110.32,114.73,278.93,475.61,206.73,52.34,78.85,345.53,120.06,66.46
2018-08-31,77.41999816894531,25.020000457763672,82.29,83.0,83.2,354.4,111.3,118.65,298.97,582.02,228.05,55.58,80.34,345.33,124.46,66.32
2018-09-07,76.83000183105469,26.06999969482422,83.24,83.25,83.55,354.75,114.27,123.1,275.25,522.45,239.74,57.5,86.73,350.26,141.55,66.52
2018-09-14,78.08999633789062,26.399999618530277,83.25,82.13,82.66,347.89,105.4,109.82,281.13,424.23,217.83,48.36,80.58,351.91,134.25,65.57
2018-09-21,78.80000305175781,26.149999618530277,87.43,82.79,86.51,346.07,111.28,115.19,257.1,398.78,209.65,47.57,78.42,352.6,132.69,69.37
2018-09-28,82.72000122070312,26.729999542236328,73.48,71.83,78.98,313.47,109.32,112.24,255.11,371.22,200.31,44.68,77.69,346.39,129.03,69.66
2018-10-05,84.16000366210938,28.84000015258789,74.4,72.99,78.09,302.43,118.15,119.6,241.93,416.24,218.72,46.89,85.28,350.24,141.01,69.53
2018-10-12,80.43000030517578,27.729999542236328,90.16,81.08,79.38,293.48,121.59,121.06,221.82,393.59,223.09,47.42,89.46,368.69,144.37,69.71
2018-10-19,79.77999877929688,27.420000076293945,100.0,78.85,79.28,289.51,123.29,127.91,212.0,389.55,217.73,48.73,91.91,360.85,147.02,69.69
2018-10-26,77.62000274658203,29.09000015258789,97.05,76.37,79.44,284.57,125.23,134.22,206.61,388.93,232.25,50.74,97.55,360.73,156.91,69.82
2018-11-02,72.83000183105469,32.209999084472656,94.07,74.25,79.1,295.59,122.32,139.16,195.08,369.58,222.02,50.63,92.64,358.91,149.17,69.01
2018-11-09,70.18000030517578,35.099998474121094,94.09,73.92,78.58,275.1,119.62,139.13,197.78,363.8,220.41,49.2,89.71,359.27,141.62,68.84
2018-11-16,66.76000213623047,40.560001373291016,97.04,75.86,78.1,268.2,128.42,149.4,203.98,366.56,225.6,51.18,94.85,360.97,145.47,69.97
2018-11-23,58.79999923706055,65.16999816894531,97.04,76.74,78.7,273.58,143.63,160.68,213.77,392.54,238.89,56.59,100.24,363.51,151.4,70.57
2018-11-30,58.709999084472656,56.040000915527344,96.05,77.85,79.16,276.94,139.23,147.97,207.46,386.55,228.17,57.56,93.86,363.23,140.94,67.74
2018-12-07,61.66999816894531,41.83000183105469,94.09,76.78,78.74,278.16,135.32,147.47,206.15,383.39,224.16,59.57,90.18,360.08,140.45,67.49
2018-12-14,60.27999877929688,42.380001068115234,93.1,75.68,78.65,301.24,130.41,144.09,196.59,376.28,221.67,55.62,83.8,371.63,135.11,67.45
2018-12-21,53.81999969482422,51.7599983215332,100.0,81.16,78.63,293.62,152.29,149.01,207.52,359.25,217.3,63.5,87.98,372.9,139.23,67.5
2018-12-28,52.20000076293945,53.11000061035156,100.0,81.31,79.47,293.17,157.05,154.88,206.74,358.76,220.97,63.26,87.73,368.84,137.57,67.5
2019-01-04,57.060001373291016,51.52000045776367,105.93,83.26,79.69,308.27,144.16,144.68,188.87,357.33,215.89,58.5,91.65,376.57,141.93,67.34
2019-01-11,60.47999954223633,40.9900016784668,100.0,82.29,79.12,305.33,135.05,136.77,182.3,367.24,206.05,55.1,83.31,377.64,126.85,67.03
2019-01-18,62.70000076293945,35.630001068115234,92.09,79.31,78.71,304.12,124.24,127.48,170.87,329.31,196.1,48.61,80.34,380.97,123.68,66.74
2019-01-25,61.63999938964844,35.209999084472656,89.13,78.83,78.48,259.46,128.56,130.43,169.73,314.69,186.31,48.84,78.36,379.62,117.36,66.48
2019-02-01,61.869998931884766,33.400001525878906,90.11,78.59,78.13,262.34,122.95,135.32,164.78,305.91,174.33,47.09,72.43,385.73,111.01,66.34
2019-02-08,62.09999847412109,32.560001373291016,91.13,75.56,78.25,261.04,120.75,139.22,171.21,314.09,182.55,48.86,73.54,373.01,115.91,66.51
2019-02-15,66.25,29.459999084472656,90.63,75.81,77.91,294.36,118.57,134.66,161.88,308.75,187.73,48.51,68.54,373.25,112.98,66.55
2019-02-22,67.12000274658203,29.850000381469727,88.66,75.62,74.81,290.07,112.82,132.42,161.42,315.65,182.85,47.62,64.36,368.1,109.07,66.53
2019-03-01,65.06999969482422,30.309999465942383,81.23,69.39,75.28,250.35,109.01,125.71,156.43,306.07,178.53,45.99,61.31,356.72,99.5,66.49
2019-03-08,65.73999786376953,29.770000457763672,88.16,75.36,74.74,241.59,114.11,128.06,163.5,327.55,186.07,47.66,63.53,360.21,102.94,66.39
2019-03-15,67.16000366210938,26.270000457763672,79.29,68.99,74.18,239.97,106.68,123.35,154.56,309.16,174.95,44.83,58.9,321.48,97.91,66.36
2019-03-22,67.02999877929688,27.780000686645508,85.26,74.24,80.29,247.83,113.15,127.83,177.23,391.29,197.09,49.27,61.72,364.25,100.67,70.43
2019-03-29,68.38999938964844,26.75,90.13,75.71,79.41,280.24,108.31,121.35,174.53,418.98,196.79,45.19,60.8,363.81,103.83,70.33
2019-04-05,70.33999633789062,24.0,83.25,70.97,79.38,276.42,105.24,118.03,169.85,385.21,179.65,41.06,55.85,316.25,97.8,70.37
2019-04-12,71.55000305175781,25.700000762939453,83.22,67.8,75.32,249.2,96.93999,112.71,169.46,448.21,180.71,39.25,53.69,322.81,98.11,70.31
2019-04-19,71.97000122070312,24.450000762939453,77.83,64.28,75.02,276.37,95.07999,109.73,170.31,428.88,178.46,37.12,51.91,314.76,91.97,69.74
2019-04-26,72.1500015258789,31.239999771118164,78.83,65.41,75.33,278.27,97.09,113.82,174.05,456.09,185.01,38.78,53.43,320.59,96.33,69.12
2019-05-03,70.8499984741211,29.8799991607666,80.29,66.15,75.0,279.02,99.29999,110.67,169.43,432.09,187.24,39.63,50.97,315.78,96.58,68.87
2019-05-10,70.62000274658203,32.79999923706055,84.23,66.58,75.08,285.43,106.67,118.77,170.86,482.99,183.36,44.53,55.89,327.58,102.76,65.51
2019-05-17,72.20999908447266,29.440000534057617,93.09,70.82,75.69,293.91,108.93,117.26,183.95,483.28,192.46,47.04,57.27,363.62,104.84,65.8
2019-05-24,68.69000244140625,33.189998626708984,92.6,69.73,75.62,291.46,112.25,120.0,178.2,514.15,194.23,48.37,60.43,363.63,107.94,66.1
2019-05-31,64.48999786376953,46.90999984741211,96.06,71.28,75.98,296.81,116.55,129.44,178.18,480.47,198.89,51.7,64.74,333.21,113.06,66.2
2019-06-07,63.290000915527344,38.75,88.17,67.7,75.8,294.0,110.07,128.25,167.98,465.3,201.22,45.88,62.24,330.15,106.48,66.14
